2023-12-07 15:25:03,043	 []	 INFO 	 TEST_APP_2010	15:25:03.0438646	Simple Phone ID Reader	FileManager	Waiting for file process 'AutoSaveLog' to finish...
2023-12-07 15:25:03,043	 []	 INFO 	 TEST_APP_2010	15:25:03.0438646	Simple Phone ID Reader	FileManager	File process 'AutoSaveLog' is finished.
2023-12-07 15:25:03,043	 []	 INFO 	 ID_READER	15:25:03.0438646		GetID	Unit track ID '0085544330' is now available.
2023-12-07 15:25:03,043	 []	 INFO 	 ID_READER	15:25:03.0438646	Simple Phone ID Reader	WorkerThreadReaderFunction	ID reader is now idle waiting for request to resume scanning for another unit...
2023-12-07 15:25:03,043	 []	 INFO 	 CustomerDataProcessor	15:25:03.0438646		Engine	ID reader returned unit track ID of '0085544330'.
2023-12-07 15:25:03,043	 []	 INFO 	 CustomerDataProcessor	15:25:03.0438646		Engine	Requesting Customer Data For : [0085544330]
2023-12-07 15:25:03,043	 []	 INFO 	 CustomerDataProcessor	15:25:03.0438646		Engine	Retrieving unit data from customer database.
2023-12-07 15:25:03,043	 []	 INFO 	 DATA_COLLECTOR	15:25:03.0438646		Engine	Getting unit model information...
2023-12-07 15:25:03,043	 []	 INFO 	 DATA_COLLECTOR	15:25:03.0438646		Engine	Hardware information selector: 'CAlternateLibertyvilleHardwareInfo'
2023-12-07 15:25:03,063	 []	 INFO 	 ModelDataManager	15:25:03.0638649		Load	Checking if model data memory contents needs to be refreshed from model file...Last modified timestamp of the model file when it was loaded is '2023/12/02 10:09:49' and the last modified timestamp of the model file now is '2023/12/02 10:09:49'.
2023-12-07 15:25:03,063	 []	 INFO 	 ModelDataManager	15:25:03.0638649		Load	Model file has NOT been updated since it was last loaded; so model data does NOT require to be refreshed.
2023-12-07 15:25:03,063	 []	 INFO 	 DATA_COLLECTOR	15:25:03.0638649		Engine	Calling UnitDataTransactionHandler to get unit data for [0085544330]
2023-12-07 15:25:03,063	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0638649		UnitDataTransactionHandler	Collecting unit data for track ID '0085544330': Transaction type = 'FLXFL' | URL = 'http://10.114.90.79/FF_Http_AutoTester/default.aspx'
2023-12-07 15:25:03,063	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0638649		CollectUnitModelInfo	BusinessSystemDataConnector name= 'FLXFL'. reset global variable.
2023-12-07 15:25:03,063	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0638649		CollectUnitModelInfo	Collect unit model info request for track Id '0085544330'.  Number of retries allowed = 2.  Timeout = 20000msec.
2023-12-07 15:25:03,073	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0738643		ProcessPostRequest	Request URL: 'http://10.114.90.79/FF_Http_AutoTester/default.aspx'
2023-12-07 15:25:03,073	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0738643		ProcessPostRequest	Request timeout: 20000msec
2023-12-07 15:25:03,073	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0738643		ProcessPostRequest	Request data sending to server: cmd=QUERY&wip_no=0085544330&station_type=BRDTEST&station_code=ME06-PB01F1T06-BT008A&test_machine_id=2C:F0:5D:51:26:A7&p=permission&p=sfc_error_msg&p=fvc_num&p=order_num&p=front_end_pn&p=back_end_pn&p=wip_no&p=battery_pn&p=subassembly_id&p=keypart_xb
2023-12-07 15:25:03,093	 []	 INFO 	 BusinessSystemDataManager	15:25:03.0938645		ProcessPostRequest	Getting the web service request stream...
2023-12-07 15:25:03,103	 []	 INFO 	 BusinessSystemDataManager	15:25:03.1038641		ProcessPostRequest	Successfully got the web service request stream.
2023-12-07 15:25:03,103	 []	 INFO 	 BusinessSystemDataManager	15:25:03.1038641		ProcessPostRequest	Writing the data to the web service request stream...
2023-12-07 15:25:03,103	 []	 INFO 	 BusinessSystemDataManager	15:25:03.1038641		ProcessPostRequest	Successfully wrote the data to the web service request stream.
