2023-12-06 17:35:12,108	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.0989261	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,158	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.1585856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.01701e-02

2023-12-06 17:35:12,158	 []	 INFO 	 TEST_APP_2010	17:35:12.1585856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 119: 30.1701
2023-12-06 17:35:12,158	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.1585856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,208	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2088519	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.90799e-02

2023-12-06 17:35:12,208	 []	 INFO 	 TEST_APP_2010	17:35:12.2088519	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 120: 29.0799
2023-12-06 17:35:12,208	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2088519	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,258	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2586537	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.03148e-02

2023-12-06 17:35:12,258	 []	 INFO 	 TEST_APP_2010	17:35:12.2586537	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 121: 30.3148
2023-12-06 17:35:12,258	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2586537	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,298	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2988154	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.85961e-02

2023-12-06 17:35:12,298	 []	 INFO 	 TEST_APP_2010	17:35:12.2988154	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 122: 28.5961
2023-12-06 17:35:12,298	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.2988154	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,358	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.3587856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.47501e-02

2023-12-06 17:35:12,358	 []	 INFO 	 TEST_APP_2010	17:35:12.3587856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 123: 34.7501
2023-12-06 17:35:12,358	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.3587856	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,398	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.3987641	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.96365e-02

2023-12-06 17:35:12,398	 []	 INFO 	 TEST_APP_2010	17:35:12.3987641	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 124: 29.6365
2023-12-06 17:35:12,398	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.3987641	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,458	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.4587356	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.57986e-02

2023-12-06 17:35:12,458	 []	 INFO 	 TEST_APP_2010	17:35:12.4587356	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 125: 35.7986
2023-12-06 17:35:12,458	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.4587356	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,508	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5087190	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.88855e-02

2023-12-06 17:35:12,508	 []	 INFO 	 TEST_APP_2010	17:35:12.5087190	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 126: 28.8855
2023-12-06 17:35:12,508	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5087190	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,558	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5586878	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.33989e-02

2023-12-06 17:35:12,558	 []	 INFO 	 TEST_APP_2010	17:35:12.5586878	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 127: 33.3989
2023-12-06 17:35:12,558	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5586878	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,598	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5986587	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	3.03281e-02

2023-12-06 17:35:12,598	 []	 INFO 	 TEST_APP_2010	17:35:12.5986587	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 128: 30.3281
2023-12-06 17:35:12,598	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.5986587	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,658	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.6586295	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.97262e-02

2023-12-06 17:35:12,658	 []	 INFO 	 TEST_APP_2010	17:35:12.6586295	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 129: 29.7262
2023-12-06 17:35:12,658	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.6586295	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,708	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.7085960	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.87177e-02

2023-12-06 17:35:12,708	 []	 INFO 	 TEST_APP_2010	17:35:12.7085960	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Measure Process	CURRENT Reading 130: 28.7177
2023-12-06 17:35:12,708	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.7085960	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Write	MEAS1:CURR?
2023-12-06 17:35:12,758	 []	 INFO 	 BATT_POWER_SUPPLY[4]	17:35:12.7585728	MEAS_BATT_OFF_CURRENT_BOARD_30_sec_ver3	Read	2.90542e-02

